"Year","FIX","NONE","TWL","Total Landings","Total Dead"
1976,"20,506.80","0.00","3,888.01","24,394.81","25,045.64"
1977,"5,243.54","0.00","3,497.85","8,741.39","9,370.43"
1978,"7,708.79","0.00","4,532.11","12,240.90","13,006.32"
1979,"16,772.00","0.00","7,116.30","23,888.30","24,879.21"
1980,"4,537.32","0.00","4,506.94","9,044.26","10,058.19"
1981,"5,855.33","0.00","5,437.39","11,292.72","12,432.86"
1982,"8,247.92","0.00","10,117.70","18,365.62","20,442.89"
1983,"7,112.16","0.00","7,280.22","14,392.38","15,680.69"
1984,"5,363.84","0.00","8,215.94","13,579.78","14,734.11"
1985,"6,611.02","0.00","7,141.24","13,752.26","14,914.46"
1986,"6,311.73","0.00","6,456.36","12,768.09","14,104.25"
1987,"5,871.70","0.00","6,454.05","12,325.75","13,716.47"
1988,"5,062.31","0.00","5,446.62","10,508.93","11,456.30"
1989,"4,410.42","0.00","5,667.45","10,077.87","11,015.77"
1990,"3,780.55","0.00","5,108.30","8,888.85","9,759.06"
1991,"4,319.25","0.00","4,932.10","9,251.35","10,392.76"
1992,"3,868.54","0.00","5,311.01","9,179.55","10,281.74"
1993,"3,147.79","0.00","4,808.73","7,956.52","8,730.70"
1994,"3,708.95","0.00","3,759.34","7,468.29","7,968.20"
1995,"4,011.64","0.00","3,795.59","7,807.23","8,318.36"
1996,"4,080.78","0.00","4,131.29","8,212.07","9,042.94"
1997,"4,121.76","0.00","3,734.32","7,856.08","8,673.40"
1998,"2,175.02","0.00","2,142.96","4,317.98","4,673.20"
1999,"3,408.12","0.00","3,117.12","6,525.24","6,974.06"
2000,"3,505.46","0.00","2,615.74","6,121.20","6,697.35"
2001,"3,012.75","0.00","2,563.61","5,576.36","6,871.87"
2002,"2,190.07","0.00","1,556.61","3,746.68","4,513.93"
2003,"3,010.56","0.00","2,213.78","5,224.34","5,703.88"
2004,"3,278.36","0.00","2,410.93","5,689.29","6,092.07"
2005,"3,599.66","0.00","2,396.47","5,996.13","6,337.75"
2006,"3,380.39","0.00","2,536.10","5,916.49","6,210.87"
2007,"2,621.13","0.00","2,486.01","5,107.14","5,341.24"
2008,"2,796.21","0.00","2,890.67","5,686.88","5,928.94"
2009,"3,889.01","0.00","3,061.45","6,950.46","7,367.34"
2010,"4,054.53","0.00","2,539.32","6,593.85","7,003.45"
2011,"4,420.85","0.00","1,728.40","6,149.25","6,253.97"
2012,"3,670.22","0.00","1,514.58","5,184.80","5,283.60"
2013,"2,585.07","0.00","1,402.13","3,987.20","4,050.48"
2014,"2,924.26","0.00","1,292.20","4,216.46","4,294.90"
2015,"3,554.94","0.00","1,470.29","5,025.23","5,105.52"
2016,"3,829.86","0.00","1,475.95","5,305.81","5,401.39"
2017,"3,680.67","0.00","1,669.97","5,350.64","5,465.76"
2018,"3,648.68","0.00","1,478.26","5,126.94","5,220.22"
2019,"3,568.27","0.00","1,625.44","5,193.71","5,372.81"
2020,"2,660.03","0.00","1,102.72","3,762.75","3,882.69"
