Label,2019 Model,Base (natm & Desc Fixed),"Base (natM, Desc Free)",AKSLP Desc Fixed,Base +francis1,Base +francis2,Base +francis3
SPRratio_2015,0.922533,0.807327,0.557612,0.797997,0.490564,0.597049,0.630682
SPRratio_2019,0.865095,0.686052,0.461204,0.677562,0.40108,0.492027,0.523825
SR_BH_steep,0.7,0.7,0.7,0.7,0.7,0.7,0.7
SR_LN(R0),9.61725,9.64982,10.0332,9.69263,10.2657,10.0172,9.95243
SSB_Btgt_thousand_mt,59.092,61.727,77.591,64.43,107.185,89.141,84.963
SSB_MSY_thousand_mt,36.734,38.155,47.932,39.828,66.522,55.261,52.607
SSB_Virgin_thousand_mt,147.729,154.319,193.977,161.074,267.964,222.854,212.408
Survey_like,-4.98883,-5.55086,-21.8631,-20.9552,-10.2743,-10.8152,-11.1572
TOTAL_like,3306.51,6082.52,6060.91,6065.57,3065.86,3019.75,3177.07
Totbio_unfished,350340,363312,488537,379210,648682,539855,520136
VonBert_K_Fem_GP_1,0.34379,0.339682,0.340142,0.339607,0.323247,0.324969,0.326716
VonBert_K_Mal_GP_1,0.400115,0.397999,0.397656,0.397898,0.367312,0.365413,0.363933
